mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf
0,0.25152238496431,0.19141716908755385,0.26931042494,0.19141730094623194,0.2693105886052896,101.28966522216797,101.28966522216797,0.7775999999999997
1,0.24751272573843378,0.18871661315661709,0.21631507082585033,0.18871656342424273,0.2163150094312794,110.7481918334961,110.7481918334961,0.7632000000000004
2,0.2506577889840524,0.14815025079458816,0.17681430393343814,0.14815045584863215,0.17681448535911076,113.9117660522461,113.9117660522461,0.7805999999999998
3,0.24810616891305368,0.15265553496344808,0.12963265614076183,0.15265556897178395,0.1296326853918745,121.34822082519531,121.34822082519531,0.7703999999999995
4,0.24591864050329626,0.1461676446269452,0.1142102994254507,0.1461677009883193,0.11421033924590326,121.51860809326172,121.51860809326172,0.7814000000000004
5,0.24253657343867302,0.14171585499082148,0.10391707863193692,0.14171582479925063,0.10391703817274306,119.90957641601562,119.90957641601562,0.7821999999999997
6,0.24837553465330567,0.09768781671135458,0.08788403072370084,0.09768795432787658,0.0878841469425046,115.69068145751953,115.69068145751953,0.7821999999999997
7,0.24227073600700305,0.11827775976727417,0.07004431023902793,0.11827793439702478,0.07004449017280946,120.60521697998047,120.60521697998047,0.7715999999999996
8,0.24554475434907563,0.09053231493577095,0.049764041790536936,0.09053224871539756,0.049763995171803944,123.62541961669922,123.62541198730469,0.7623999999999996
9,0.24307270450992985,0.08604669928003322,0.035364842878866425,0.08604682927428489,0.03536495951453821,125.32537841796875,125.32537841796875,0.7706000000000007
10,0.2407463577774552,0.08533299604430968,0.024798274891523253,0.0853329319501163,0.0247982196557848,124.37606811523438,124.37606811523438,0.782
11,0.2456234425037831,0.055107947379792625,0.01881965160257796,0.05510815088818793,0.01881987046981184,124.75719451904297,124.75719451904297,0.7540000000000003
12,0.24216030453060486,0.07547923742842519,0.014825559963542595,0.07547942734134998,0.014825747369708797,125.91155242919922,125.91156768798828,0.7834000000000002
13,0.24025013783314567,0.07393619013415043,0.010860094198859754,0.07393584266554735,0.010859717526847964,125.57049560546875,125.57049560546875,0.7738000000000005
14,0.2397098713092976,0.06437950432911389,0.009177838935417057,0.06437936833549975,0.009177705518694835,125.02372741699219,125.02372741699219,0.7646000000000005
15,0.23947542207735087,0.06289588546692973,0.0067300521754110896,0.06289592074157586,0.006730073750550074,124.14421081542969,124.14421081542969,0.7788000000000003
16,0.23832892798804658,0.06041557863932,0.004150313616839629,0.06041553762538484,0.004150276917918124,125.32543182373047,125.32543182373047,0.7878000000000004
17,0.23635914662220825,0.057424628081500416,0.0017481612093259112,0.05742495842573836,0.0017485258953894571,126.5159683227539,126.5159683227539,0.7622
18,0.2401334630834448,0.03440884828361055,-0.000956670446664713,0.03440873863260518,-0.0009568159410184671,124.5124740600586,124.5124740600586,0.7549999999999998
19,0.23972588616448479,0.05047135222559723,-0.003016365948958593,0.05047136434368829,-0.0030163424383273314,126.53202819824219,126.53202819824219,0.7788000000000003
20,0.2354176839192709,0.05113427497718228,-0.005056938497564266,0.051134545389847935,-0.005056652839225025,123.64668273925781,123.64668273925781,0.7685999999999996
21,0.23882535413220848,0.04368681338000876,-0.007359940290054835,0.043686852210491095,-0.007359937016982247,124.50814056396484,124.50814056396484,0.7699999999999997
22,0.23730934990776908,0.034824888535724255,-0.009018393471871439,0.034824918093918945,-0.009018345523605656,121.87765502929688,121.87765502929688,0.7699999999999997
23,0.23256506934180274,0.0467320781097556,-0.011172857618097836,0.046732077670438896,-0.011172849210915872,125.02325439453125,125.02325439453125,0.7811999999999993
24,0.23294672235712283,0.04097045015529527,-0.012959119256187193,0.040970398858192564,-0.012959184684495813,125.15608215332031,125.15608215332031,0.7795999999999995
25,0.23861608419332422,0.01221033218179427,-0.014560806674660004,0.012210524142807232,-0.0145606011555311,124.21477508544922,124.21479034423828,0.7636000000000002
26,0.23550793072124857,0.03124060684728156,-0.015843564748131523,0.03124082196275466,-0.01584334236698233,123.47958374023438,123.47958374023438,0.7740000000000006
