mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf
0,0.24170438520185228,0.25039283800515816,0.252213860695729,0.250392743463869,0.2522137389717142,108.93228912353516,108.93228912353516,0.7853999999999995
1,0.2389701637061867,0.22258425181382444,0.19953750499907577,0.22258449386388512,0.19953772805451256,117.3995590209961,117.3995590209961,0.7715999999999996
2,0.2335342773804078,0.19761990626260242,0.15580608277022528,0.19762013820691443,0.15580634292800552,117.34396362304688,117.3439712524414,0.7715999999999996
3,0.2377946068932702,0.16882945709346345,0.11575880546175578,0.16882948792029628,0.11575883317827641,119.17912292480469,119.17912292480469,0.782
4,0.23512121435400246,0.15922917498309896,0.10164173144945407,0.1592292863447073,0.10164182158030007,119.17059326171875,119.17059326171875,0.779
5,0.2341108121671476,0.1504555780172484,0.0916486987410016,0.15045583747560246,0.09164893717839133,119.01569366455078,119.01570129394531,0.7781999999999992
6,0.24083079661692944,0.13677663773728393,0.07875335604447567,0.13677695065714227,0.07875365493844162,121.31439971923828,121.31439971923828,0.7798000000000006
7,0.23496979492920658,0.12235134362566238,0.05645684507587091,0.12235145975901746,0.05645695841245816,120.57313537597656,120.57313537597656,0.7701999999999994
8,0.2316204563633458,0.10540031231530765,0.0387921097060154,0.10540024658053622,0.03879201190597618,120.25225830078125,120.25225830078125,0.7774
9,0.22862386846685553,0.09434547197895617,0.01939546437326395,0.09434536027648904,0.019395367110812547,120.32337188720703,120.3233871459961,0.7729999999999998
10,0.229583705867733,0.08611550038243851,0.013001660654603637,0.08611571116800142,0.013001830225159697,120.32762145996094,120.32763671875,0.7712000000000002
11,0.23000930236266542,0.08147211870314801,0.00904049364121642,0.08147190614322025,0.009040288155903171,121.38813018798828,121.38813018798828,0.7802000000000003
12,0.23479546440972224,0.07850679028507747,0.007280327486934203,0.0785068517280234,0.00728036660302532,122.54174041748047,122.54175567626953,0.7687999999999996
13,0.22895682395041533,0.07592283807070367,-0.0013455472283018695,0.0759228301201303,-0.001345551844216589,121.64778900146484,121.64778900146484,0.7837999999999997
14,0.23419690060543946,0.07132520326312747,0.005251062317450158,0.07132537972755952,0.005251283427353154,123.86031341552734,123.86031341552734,0.7770000000000002
15,0.2316378458842143,0.06718513004052207,0.002478961856794955,0.06718526763731562,0.0024791261499908916,122.94386291503906,122.94386291503906,0.7742000000000003
16,0.226768367641323,0.06312163323801888,-0.007618926385697023,0.06312163302330015,-0.007618927210495534,122.7731704711914,122.7731704711914,0.7577999999999997
17,0.23306070505319776,0.06110538889810409,-0.0034372386394281008,0.06110552378848687,-0.0034370873302125835,123.3117446899414,123.3117446899414,0.7749999999999996
18,0.22857818374404681,0.05760798196824171,-0.008080299095663159,0.05760825408270592,-0.008080050014523553,122.00967407226562,122.00967407226562,0.7735999999999993
19,0.23434087392446157,0.05539313226095963,-0.004975877039942994,0.0553928436443024,-0.004976184915356668,123.68145751953125,123.68145751953125,0.7668
20,0.22875851697033953,0.0532206293749929,-0.012867325365717141,0.053220341171593265,-0.012867624565488112,122.64311981201172,122.64311981201172,0.7510000000000003
21,0.23113515355565525,0.05139362769718515,-0.012232082334472011,0.051393489224470026,-0.012232205227515405,123.14534759521484,123.14534759521484,0.7912
22,0.22817132852456948,0.048912945661943104,-0.017957758818698856,0.04891288917184148,-0.017957834922382267,122.31248474121094,122.31248474121094,0.7491999999999993
23,0.2338683440520599,0.04664652661659183,-0.012471439440694452,0.04664657914983897,-0.012471394335766006,123.8411865234375,123.8411865234375,0.7846000000000003
24,0.23018903990049625,0.04454497319299382,-0.01708651134445388,0.044545130175652675,-0.017086371416146596,123.04996490478516,123.04996490478516,0.7696000000000003
25,0.23509618398305532,0.04172638872919228,-0.015008637468842092,0.04172626265107946,-0.015008760491920764,124.2616958618164,124.2616958618164,0.7484000000000001
26,0.22859308741114162,0.03854272584615146,-0.022341009913774117,0.0385426853437641,-0.02234104129379348,122.76282501220703,122.76282501220703,0.7752000000000007
27,0.23095235738668354,0.03635027194660665,-0.02059068110895832,0.036350272936311046,-0.020590689033031618,122.9170150756836,122.9170150756836,0.7622
28,0.22977778575083876,0.03457623744940508,-0.023392272663521955,0.034576251023811275,-0.02339224218417745,123.57000732421875,123.57000732421875,0.7781999999999992
29,0.23122344145903717,0.03168706585728821,-0.02402050966351046,0.03168698550179258,-0.024020599135333554,124.05157470703125,124.05157470703125,0.7759999999999999
30,0.23065814456424202,0.029623762640926175,-0.02886628755300367,0.029623842356593044,-0.02886620773325964,123.03135681152344,123.03135681152344,0.7866
31,0.23172801249736064,0.026538936052946775,-0.021673933467898046,0.026539201588349222,-0.02167365676149483,124.05245971679688,124.05245971679688,0.7744
32,0.23185666974958352,0.020790561531900054,-0.029102367172341957,0.020790506716744223,-0.0291024337721558,123.80264282226562,123.80264282226562,0.7798000000000006
33,0.23005310837570975,0.017370890322517377,-0.032467192740333724,0.017370794735974096,-0.03246728546235923,124.18585205078125,124.18585205078125,0.7724000000000003
34,0.22814939115140534,0.012131949168997326,-0.04122079018681953,0.012132056155313316,-0.04122067756417576,123.1805419921875,123.18055725097656,0.7620000000000003
35,0.23405876961556285,0.0015845973268849949,-0.041050450161472136,0.0015845389343989774,-0.04105053756929668,124.35086059570312,124.35086059570312,0.7747999999999998
36,0.23253627009577937,-0.002758861757460189,-0.04726894894145861,-0.002759060555785264,-0.04726914543672287,123.61714935302734,123.61714935302734,0.7800000000000004
37,0.23177020327822942,-0.009090108061404468,-0.05433534429520929,-0.009090093090033112,-0.054335324995314106,123.43818664550781,123.43818664550781,0.7844000000000005
