mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
1000,0.2538206541502439,0.05598652097356525,0.17770184152578605,3.450463029854816,33.92272950314366,95.12159729003906,3.7610745429992676,0.4573999999999999,0.0,0.0,0.0
2000,0.2538206541502439,0.03220244285442158,0.10841787746650336,3.462419639206076,41.239500213963815,105.4079360961914,3.4443583488464355,0.5008000000000002,0.0,0.0,0.0
3000,0.2538206541502439,0.032472432574564364,0.07586034021479758,2.6367805585602953,50.5596163347945,114.64924621582031,3.4766173362731934,0.5187999999999999,0.0,0.0,0.0
4000,0.25381788190778665,0.016591818987918987,0.03491859921152401,2.6027530021709686,60.54128851748933,122.24976348876953,3.605648994445801,0.49919999999999987,0.0,0.0,0.0
5000,0.2538115240790106,0.002313443491071792,0.001950579306771541,2.6704276904310214,73.16990491255078,128.749267578125,3.7489876747131348,0.535,0.0,0.0,0.0
6000,0.2538054984611075,-0.008240332619884279,-0.024119003159325456,2.7810653241563936,90.4141824079177,134.1528778076172,3.8653724193573,0.5431999999999999,0.0,0.0,0.0
7000,0.2531834393292217,-0.005507742944894408,-0.0346668780720293,2.811842495248934,113.73061038208124,138.09413146972656,3.955457925796509,0.5525999999999995,0.0,0.0,0.0
8000,0.25247025131821266,-0.008390235357199828,-0.04795985152577584,2.793189151948423,142.02744712650986,141.14901733398438,4.024832248687744,0.5459999999999997,0.0,0.0,0.0
9000,0.2517696987759243,0.0027164452476778804,-0.046141065636141114,2.658024739438396,185.42169383065095,143.5167694091797,4.072486877441406,0.5567999999999994,0.0,0.0,0.0
10000,0.25063325120164104,0.001933291943368693,-0.05443942840497726,2.455599569465654,226.9079364448681,145.7666473388672,4.111541748046875,0.5742,0.0,0.0,0.0
11000,0.24968344886023722,-0.002281928675173673,-0.06573393669165915,2.442402846779154,272.8167068976971,148.0812225341797,4.145576477050781,0.5797999999999999,0.0,0.0,0.0
12000,0.24891935239683044,-0.0022671485137354275,-0.07169405636463268,2.450932102695746,336.5414938860724,149.7998809814453,4.173302173614502,0.5838,0.0,0.0,0.0
13000,0.2478778713100307,0.00039826329820713996,-0.0741870326857094,2.5334112445370205,402.3612672919926,151.2998504638672,4.204588413238525,0.5823999999999999,0.0,0.0,0.0
