mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
0,0.25152238496431,0.19141716908755385,0.26931042494,0.19141730094623194,0.2693105886052896,101.28966522216797,101.28966522216797,0.8481999999999994,0.7436589028786968,0.8148226351351351,0.10014526763833222
1,0.24751272573843378,0.18871661315661709,0.21631507082585033,0.18871656342424273,0.2163150094312794,110.7481918334961,110.7481918334961,0.8465999999999996,0.7214831416872708,0.7988452505975889,0.10286321506294455
2,0.2506577889840524,0.14815025079458816,0.17681430393343814,0.14815045584863215,0.17681448535911076,113.9117660522461,113.9117660522461,0.7805999999999998,0.7828873315372983,0.8264358108108109,0.09690545970687205
3,0.24810616891305368,0.15265553496344808,0.12963265614076183,0.15265556897178395,0.1296326853918745,121.34822082519531,121.34822082519531,0.7703999999999995,0.938135410281452,0.8254246979826204,0.10451786337376778
4,0.24591864050329626,0.1461676446269452,0.1142102994254507,0.1461677009883193,0.11421033924590326,121.51860809326172,121.51860809326172,0.7814000000000004,1.0789681583441593,0.8262235810118875,0.10490663972591684
5,0.24253657343867302,0.14171585499082148,0.10391707863193692,0.14171582479925063,0.10391703817274306,119.90957641601562,119.90957641601562,0.7821999999999997,0.799005442676512,0.7972710624958618,0.10823197565540196
6,0.24837553465330567,0.09768781671135458,0.08788403072370084,0.09768795432787658,0.0878841469425046,115.69068145751953,115.69068145751953,0.7821999999999997,1.2716684267931693,0.8351084310413355,0.1002504483477136
7,0.24227073600700305,0.11827775976727417,0.07004431023902793,0.11827793439702478,0.07004449017280946,120.60521697998047,120.60521697998047,0.7715999999999996,0.8807353267597186,0.8206815534488514,0.11023904784744891
8,0.24554475434907563,0.09053231493577095,0.049764041790536936,0.09053224871539756,0.049763995171803944,123.62541961669922,123.62541198730469,0.7623999999999996,0.8210521832712598,0.8229421671657126,0.10341467671958736
9,0.24307270450992985,0.08604669928003322,0.035364842878866425,0.08604682927428489,0.03536495951453821,125.32537841796875,125.32537841796875,0.7706000000000007,1.0591797758195851,0.8224000618701706,0.10433592590142865
10,0.2407463577774552,0.08533299604430968,0.024798274891523253,0.0853329319501163,0.0247982196557848,124.37606811523438,124.37606811523438,0.8474000000000003,0.9597257523721939,0.8206909818662536,0.10857486312605694
11,0.2456234425037831,0.055107947379792625,0.01881965160257796,0.05510815088818793,0.01881987046981184,124.75719451904297,124.75719451904297,0.8449999999999995,1.1900397944893386,0.8452047319234819,0.10177236657651165
12,0.24216030453060486,0.07547923742842519,0.014825559963542595,0.07547942734134998,0.014825747369708797,125.91155242919922,125.91156768798828,0.8476,0.8518697408002776,0.8275153068096828,0.1072124229248713
13,0.24025013783314567,0.07393619013415043,0.010860094198859754,0.07393584266554735,0.010859717526847964,125.57049560546875,125.57049560546875,0.8424000000000005,0.8542303134863442,0.8193136197638317,0.1102950831068688
14,0.2397098713092976,0.06437950432911389,0.009177838935417057,0.06437936833549975,0.009177705518694835,125.02372741699219,125.02372741699219,0.846,0.8461153409569651,0.8112479863752047,0.10528212629359221
15,0.23947542207735087,0.06289588546692973,0.0067300521754110896,0.06289592074157586,0.006730073750550074,124.14421081542969,124.14421081542969,0.8421999999999992,0.8894640342206568,0.8213068797039526,0.10401547700808587
16,0.23832892798804658,0.06041557863932,0.004150313616839629,0.06041553762538484,0.004150276917918124,125.32543182373047,125.32543182373047,0.8391999999999992,1.1143010313043724,0.8280771371851363,0.10555638422688735
17,0.23635914662220825,0.057424628081500416,0.0017481612093259112,0.05742495842573836,0.0017485258953894571,126.5159683227539,126.5159683227539,0.8435999999999995,0.8655710937203588,0.8192518548980413,0.10632953603847796
18,0.2401334630834448,0.03440884828361055,-0.000956670446664713,0.03440873863260518,-0.0009568159410184671,124.5124740600586,124.5124740600586,0.8442000000000005,0.893047097667649,0.8476046583043866,0.0991996388083149
19,0.23972588616448479,0.05047135222559723,-0.003016365948958593,0.05047136434368829,-0.0030163424383273314,126.53202819824219,126.53202819824219,0.843,1.3096362481246124,0.8286807564862064,0.10619366214258835
20,0.2354176839192709,0.05113427497718228,-0.005056938497564266,0.051134545389847935,-0.005056652839225025,123.64668273925781,123.64668273925781,0.8410000000000003,1.745662880608359,0.8298003146093424,0.10398642046707837
21,0.23882535413220848,0.04368681338000876,-0.007359940290054835,0.043686852210491095,-0.007359937016982247,124.50814056396484,124.50814056396484,0.7699999999999997,0.8151796738038192,0.816408959183112,0.10754238124488899
22,0.23730934990776908,0.034824888535724255,-0.009018393471871439,0.034824918093918945,-0.009018345523605656,121.87765502929688,121.87765502929688,0.7699999999999997,1.4481506890340432,0.8214737850845815,0.10512016659998373
23,0.23256506934180274,0.0467320781097556,-0.011172857618097836,0.046732077670438896,-0.011172849210915872,125.02325439453125,125.02325439453125,0.7811999999999993,1.080081155271949,0.8225326554673075,0.10642684137200589
